EBE_class,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1,p2,p3,p4,jacobian,EBE_exp
devfromebe_recessive,1.00E-07,0.001,0.01,0.991170549,0.991170549,0.991170549,1,0.991170549,0.991170549,0.991170549,0.991170549,0.991170549,0.991170549,1,0,0.902176964,0,0.097823036,-9.01E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.98578756,0.98578756,0.98578756,1,0.98578756,0.98578756,0.98578756,0.98578756,0.98578756,0.98578756,1,0,0.896686471,0,0.103313529,-1.46E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.996800082,0.996800082,0.996800082,1,0.996800082,0.996800082,0.996800082,0.996800082,0.996800082,0.996800082,1,0,0.906818415,0,0.093181585,-3.24E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.937848516,0.937848516,0.937848516,1,0.937848516,0.937848516,0.937848516,0.937848516,0.937848516,0.937848516,1,0,0.192393891,0,0.807606109,-7.16309E-05,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.881460507,0.881460507,0.881460507,1,0.881460507,0.881460507,0.881460507,0.881460507,0.881460507,0.881460507,1,0,0.090984053,0,0.909015947,-0.00101225,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.488733403,0.488733403,0.488733403,1,0.488733403,0.488733403,0.488733403,0.488733403,0.488733403,0.488733403,1,0,0.019732059,0,0.980267941,-0.12622386,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.997528681,0.997528681,0.997528681,1,0.997528681,0.997528681,0.997528681,0.997528681,0.997528681,0.997528681,1,0,0.907356276,0,0.092643724,-2.50E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.957740928,0.957740928,0.957740928,1,0.957740928,0.957740928,0.957740928,0.957740928,0.957740928,0.957740928,1,0,0.332695838,0,0.667304162,-6.61E-06,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.602254342,0.602254342,0.602254342,1,0.602254342,0.602254342,0.602254342,0.602254342,0.602254342,0.602254342,1,0,0.025497213,0,0.974502787,-0.057435378,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.976782066,0.976782066,0.976782066,1,0.976782066,0.976782066,0.976782066,0.976782066,0.976782066,0.976782066,1,0,0.883453766,0,0.116546234,-2.37E-08,0.090909091
