analysis_name,mutation_rate,epimutation_rate,backepi_rate,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,h,solns,p1,p2,p3,p4,p2_p4_sum,p2_p4_estimate,p2_p4_mutselbalance,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993716225,1,1,0.993716225,0.993716225,1,0.628377457,2,0.909074178,1.59141E-05,0.090907418,2.49051E-06,1.84046E-05,1.75E-05,1.59E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993436347,1,1,0.993436347,0.993436347,1,0.656365254,2,0.909074856,1.52355E-05,0.090907486,2.42265E-06,1.76582E-05,1.68E-05,1.52E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993368228,1,1,0.993368228,0.993368228,1,0.663177236,2,0.909075013,1.5079E-05,0.090907501,2.407E-06,1.7486E-05,1.66E-05,1.51E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993244621,1,1,0.993244621,0.993244621,1,0.675537928,2,0.909075289,1.48031E-05,0.090907529,2.37941E-06,1.71825E-05,1.63E-05,1.48E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993194,1,1,0.993194,0.993194,1,0.680599982,2,0.909075399,1.4693E-05,0.09090754,2.3684E-06,1.70614E-05,1.62E-05,1.47E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993138212,1,1,0.993138212,0.993138212,1,0.686178766,2,0.909075518,1.45736E-05,0.090907552,2.35646E-06,1.693E-05,1.60E-05,1.46E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.993074765,1,1,0.993074765,0.993074765,1,0.692523501,2,0.909075652,1.44401E-05,0.090907565,2.3431E-06,1.67832E-05,1.59E-05,1.44E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.992768584,1,1,0.992768584,0.992768584,1,0.723141579,2,0.909076263,1.38287E-05,0.090907626,2.28197E-06,1.61106E-05,1.52E-05,1.38E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.992765837,1,1,0.992765837,0.992765837,1,0.723416285,2,0.909076268,1.38234E-05,0.090907627,2.28144E-06,1.61049E-05,1.52E-05,1.38E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.992743946,1,1,0.992743946,0.992743946,1,0.725605385,2,0.90907631,1.37817E-05,0.090907631,2.27727E-06,1.6059E-05,1.52E-05,1.38E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.992566885,1,1,0.992566885,0.992566885,1,0.743311543,2,0.909076638,1.34534E-05,0.090907664,2.24444E-06,1.56979E-05,1.48E-05,1.35E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.992466946,1,1,0.992466946,0.992466946,1,0.753305446,2,0.909076817,1.32749E-05,0.090907682,2.22659E-06,1.55015E-05,1.46E-05,1.33E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.992403945,1,1,0.992403945,0.992403945,1,0.759605453,2,0.909076927,1.31648E-05,0.090907693,2.21558E-06,1.53804E-05,1.45E-05,1.32E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.992177073,1,1,0.992177073,0.992177073,1,0.782292723,2,0.909077309,1.27831E-05,0.090907731,2.1774E-06,1.49605E-05,1.41E-05,1.28E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.99214854,1,1,0.99214854,0.99214854,1,0.785145965,2,0.909077355,1.27366E-05,0.090907736,2.17276E-06,1.49094E-05,1.40E-05,1.27E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.992029409,1,1,0.992029409,0.992029409,1,0.797059097,2,0.909077545,1.25462E-05,0.090907755,2.15372E-06,1.47E-05,1.38E-05,1.25E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.991958182,1,1,0.991958182,0.991958182,1,0.804181777,2,0.909077657,1.24351E-05,0.090907766,2.14261E-06,1.45777E-05,1.37E-05,1.24E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.991713178,1,1,0.991713178,0.991713178,1,0.828682178,2,0.909078024,1.20675E-05,0.090907802,2.10585E-06,1.41733E-05,1.33E-05,1.21E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.991557902,1,1,0.991557902,0.991557902,1,0.844209753,2,0.909078246,1.18455E-05,0.090907825,2.08365E-06,1.39292E-05,1.30E-05,1.18E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.991522649,1,1,0.991522649,0.991522649,1,0.847735058,2,0.909078295,1.17963E-05,0.09090783,2.07872E-06,1.3875E-05,1.30E-05,1.18E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.991406574,1,1,0.991406574,0.991406574,1,0.859342613,2,0.909078455,1.16369E-05,0.090907845,2.06279E-06,1.36997E-05,1.28E-05,1.16E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.991369172,1,1,0.991369172,0.991369172,1,0.863082779,2,0.909078505,1.15865E-05,0.090907851,2.05775E-06,1.36442E-05,1.27E-05,1.16E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.991365141,1,1,0.991365141,0.991365141,1,0.863485885,2,0.909078511,1.15811E-05,0.090907851,2.05721E-06,1.36383E-05,1.27E-05,1.16E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990965994,1,1,0.990965994,0.990965994,1,0.903400624,2,0.909079022,1.10694E-05,0.090907902,2.00604E-06,1.30754E-05,1.22E-05,1.11E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990864155,1,1,0.990864155,0.990864155,1,0.913584494,2,0.909079146,1.0946E-05,0.090907915,1.9937E-06,1.29397E-05,1.20E-05,1.09E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990823867,1,1,0.990823867,0.990823867,1,0.917613269,2,0.909079194,1.08979E-05,0.090907919,1.98889E-06,1.28868E-05,1.20E-05,1.09E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990808108,1,1,0.990808108,0.990808108,1,0.919189201,2,0.909079212,1.08793E-05,0.090907921,1.98703E-06,1.28663E-05,1.20E-05,1.09E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990668393,1,1,0.990668393,0.990668393,1,0.93316075,2,0.909079375,1.07164E-05,0.090907938,1.97074E-06,1.26871E-05,1.18E-05,1.07E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990544323,1,1,0.990544323,0.990544323,1,0.945567735,2,0.909079516,1.05758E-05,0.090907952,1.95668E-06,1.25324E-05,1.16E-05,1.06E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.99047098,1,1,0.99047098,0.99047098,1,0.952902016,2,0.909079597,1.04944E-05,0.09090796,1.94854E-06,1.24429E-05,1.15E-05,1.05E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990355915,1,1,0.990355915,0.990355915,1,0.964408547,2,0.909079723,1.03692E-05,0.090907972,1.93601E-06,1.23052E-05,1.14E-05,1.04E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990336382,1,1,0.990336382,0.990336382,1,0.966361785,2,0.909079744,1.03482E-05,0.090907974,1.93392E-06,1.22821E-05,1.14E-05,1.03E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990234592,1,1,0.990234592,0.990234592,1,0.976540831,2,0.909079851,1.02403E-05,0.090907985,1.92313E-06,1.21635E-05,1.13E-05,1.02E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990225255,1,1,0.990225255,0.990225255,1,0.977474519,2,0.909079861,1.02305E-05,0.090907986,1.92215E-06,1.21527E-05,1.13E-05,1.02E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990130698,1,1,0.990130698,0.990130698,1,0.986930183,2,0.909079959,1.01325E-05,0.090907996,1.91235E-06,1.20449E-05,1.11E-05,1.01E-05,,,
dominancecoeff,1.00E-07,0.001,0.01,1,0.99,1,1,0.990113225,1,1,0.990113225,0.990113225,1,0.988677451,2,0.909079977,1.01146E-05,0.090907998,1.91056E-06,1.20252E-05,1.11E-05,1.01E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.996857228,1,1,0.996857228,0.996857228,1,0.314277194,2,0.990067183,3.18178E-05,0.009900672,3.27079E-07,3.21449E-05,3.21E-05,3.18E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.991758921,1,1,0.991758921,0.991758921,1,0.824107862,2,0.990086867,1.21344E-05,0.009900869,1.30245E-07,1.22647E-05,1.23E-05,1.21E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.995707264,1,1,0.995707264,0.995707264,1,0.429273586,2,0.990075706,2.3295E-05,0.009900757,2.41851E-07,2.35368E-05,2.35E-05,2.33E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.998121194,1,1,0.998121194,0.998121194,1,0.187880615,2,0.990045785,5.32159E-05,0.009900458,5.4106E-07,5.37569E-05,5.38E-05,5.32E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.991901792,1,1,0.991901792,0.991901792,1,0.809820807,2,0.990086653,1.23485E-05,0.009900867,1.32386E-07,1.24809E-05,1.25E-05,1.23E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.991372749,1,1,0.991372749,0.991372749,1,0.862725124,2,0.99008741,1.15913E-05,0.009900874,1.24814E-07,1.17161E-05,1.17E-05,1.16E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.993834367,1,1,0.993834367,0.993834367,1,0.616563266,2,0.990082782,1.6219E-05,0.009900828,1.71091E-07,1.63901E-05,1.64E-05,1.62E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.993560888,1,1,0.993560888,0.993560888,1,0.643911151,2,0.990083471,1.55302E-05,0.009900835,1.64203E-07,1.56944E-05,1.57E-05,1.55E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.990082313,1,1,0.990082313,0.990082313,1,0.991768656,2,0.990088918,1.00831E-05,0.009900889,1.09732E-07,1.01928E-05,1.02E-05,1.01E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.99031431,1,1,0.99031431,0.99031431,1,0.968569037,2,0.990088676,1.03246E-05,0.009900887,1.12147E-07,1.04368E-05,1.04E-05,1.03E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.99226487,1,1,0.99226487,0.99226487,1,0.773513047,2,0.990086073,1.29281E-05,0.009900861,1.38182E-07,1.30663E-05,1.31E-05,1.29E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.995255406,1,1,0.995255406,0.995255406,1,0.474459374,2,0.990077925,2.10766E-05,0.009900779,2.19667E-07,2.12962E-05,2.13E-05,2.11E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.995262359,1,1,0.995262359,0.995262359,1,0.473764064,2,0.990077894,2.11075E-05,0.009900779,2.19976E-07,2.13275E-05,2.13E-05,2.11E-05,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.999582959,1,1,0.999582959,0.999582959,1,0.041704141,2,0.989860467,0.000238534,0.009898605,2.39424E-06,0.000240928,2.42E-04,2.40E-04,,,
dominancecoeff,1.00E-07,0.001,0.1,1,0.99,1,1,0.996245879,1,1,0.996245879,0.996245879,1,0.375412062,2,0.990072364,2.66369E-05,0.009900724,2.7527E-07,2.69122E-05,2.69E-05,2.66E-05,,,
